Period_ID,IncidentNumber,Dowgate,Euston,Holloway,Islington,Kentish Town,Paddington,Soho,West Hampstead
50,033302-19032017,0,0,0,0,0,0,1,0
51,135482-08102017,0,0,0,0,0,1,0,0
52,014145-03022017,0,0,0,1,0,0,0,0
52,035343-24032017,0,0,0,0,0,0,1,0
53,133638-04102017,1,0,0,0,0,0,0,0
53,080743-20062017,0,0,0,0,1,0,0,0
53,111541-18082017,0,0,1,0,0,0,0,0
53,083691-25062017,0,0,0,0,0,0,1,0
54,081806-22062017,0,0,0,0,0,1,0,0
55,004524-11012017,0,0,0,0,1,0,0,0
55,080057-19062017,0,0,0,0,0,0,0,1
55,064780-23052017,0,1,0,0,0,0,0,0
56,055978-05052017,0,0,0,0,0,1,0,0
56,003073-07012017,0,0,0,0,0,0,0,1
57,114874-25082017,0,0,0,0,1,0,0,0
58,004113-10012017,0,0,0,0,0,0,1,0
58,081465-21062017,0,0,0,1,0,0,0,0
58,092743-10072017,1,0,0,0,0,0,0,0
58,057480-08052017,0,0,1,0,0,0,0,0
59,093639-11072017,0,0,0,0,0,0,1,0
59,106054-06082017,0,0,0,0,0,0,0,1
59,123604-13092017,0,0,0,0,1,0,0,0
59,048190-18042017,0,0,0,0,0,0,0,1
59,095905-16072017,0,1,0,0,0,0,0,0
60,087317-01072017,0,0,0,0,0,1,0,0
60,036810-27032017,0,0,0,0,0,1,0,0
61,111058-16082017,0,0,1,0,0,0,0,0
61,030523-13032017,0,0,0,1,0,0,0,0
61,085191-27062017,0,0,0,0,1,0,0,0
62,116794-29082017,0,0,0,0,0,0,1,0
63,008606-21012017,0,0,0,0,1,0,0,0
63,136298-10102017,0,0,0,0,0,0,0,1
64,068567-29052017,0,1,0,0,0,0,0,0
64,116476-28082017,0,0,0,1,0,0,0,0
65,072255-06062017,1,0,0,0,0,0,0,0
65,086492-30062017,0,0,1,0,0,0,0,0
65,048355-19042017,0,0,0,0,0,0,0,1
65,068659-30052017,0,0,0,0,1,0,0,0
66,092653-10072017,0,0,0,0,1,0,0,0
66,139271-16102017,0,0,0,0,0,0,1,0
67,112214-19082017,0,0,0,0,0,0,0,1
67,001198-03012017,0,0,0,0,0,1,0,0
67,127404-21092017,0,0,0,1,0,0,0,0
67,124165-14092017,0,0,0,0,0,0,1,0
68,054647-01052017,0,0,0,0,1,0,0,0
68,062708-18052017,0,1,0,0,0,0,0,0
