IncidentNumber,Dowgate,Euston,Holloway,Islington,Kentish Town,Paddington,Soho,West Hampstead
024822-27022017,0.11,0.09,0.04,0.07,0.08,0.15,0.10,0.13
024834-27022017,0.08,0.03,0.05,0.04,0.01,0.06,0.04,0.06
024843-27022017,0.14,0.16,0.12,0.12,0.15,0.23,0.18,0.20
024853-27022017,0.21,0.15,0.13,0.17,0.12,0.11,0.17,0.07
024859-27022017,0.12,0.06,0.07,0.07,0.04,0.03,0.07,0.03
024860-27022017,0.12,0.06,0.06,0.08,0.02,0.05,0.08,0.03
024865-27022017,0.06,0.04,0.09,0.08,0.06,0.06,0.02,0.11
024869-27022017,0.08,0.02,0.04,0.04,0.01,0.07,0.04,0.06
024872-27022017,0.09,0.03,0.05,0.05,0.02,0.06,0.05,0.06
024879-28022017,0.07,0.05,0.09,0.09,0.06,0.06,0.03,0.11
024882-28022017,0.12,0.06,0.11,0.10,0.08,0.01,0.07,0.03
024903-28022017,0.09,0.07,0.02,0.05,0.05,0.13,0.08,0.10
024904-28022017,0.12,0.06,0.06,0.08,0.02,0.05,0.08,0.03
024917-28022017,0.07,0.01,0.04,0.03,0.03,0.07,0.03,0.08
024923-28022017,0.18,0.12,0.10,0.13,0.08,0.11,0.13,0.09
024924-28022017,0.12,0.06,0.06,0.08,0.02,0.05,0.08,0.03
024933-28022017,0.19,0.14,0.12,0.15,0.10,0.09,0.15,0.05
024936-28022017,0.09,0.04,0.04,0.05,0.01,0.07,0.05,0.05
024944-28022017,0.13,0.16,0.11,0.12,0.14,0.22,0.17,0.20
024950-28022017,0.06,0.03,0.02,0.01,0.04,0.09,0.04,0.09
024959-28022017,0.12,0.06,0.06,0.08,0.02,0.05,0.08,0.03
024970-28022017,0.29,0.23,0.21,0.24,0.19,0.18,0.24,0.14
024985-28022017,0.01,0.06,0.08,0.05,0.10,0.11,0.05,0.15
024992-28022017,0.09,0.03,0.03,0.04,0.01,0.07,0.04,0.06
024996-28022017,0.08,0.03,0.05,0.04,0.01,0.06,0.04,0.06
024999-28022017,0.03,0.02,0.04,0.02,0.06,0.08,0.03,0.11
025020-28022017,0.02,0.04,0.06,0.03,0.07,0.08,0.02,0.12
025031-28022017,0.06,0.01,0.06,0.05,0.04,0.05,0.02,0.09
025047-28022017,0.05,0.03,0.08,0.07,0.05,0.06,0.01,0.10
025052-28022017,0.04,0.03,0.04,0.01,0.05,0.10,0.05,0.10
025062-28022017,0.05,0.06,0.02,0.02,0.05,0.12,0.08,0.10
025065-28022017,0.16,0.11,0.08,0.12,0.10,0.17,0.13,0.15
025066-28022017,0.06,0.03,0.02,0.02,0.04,0.09,0.04,0.09
025078-28022017,0.05,0.03,0.08,0.07,0.05,0.05,0.02,0.10
025079-28022017,0.06,0.04,0.09,0.08,0.08,0.09,0.03,0.13
025087-28022017,0.06,0.00,0.05,0.04,0.04,0.06,0.02,0.09
025101-28022017,0.28,0.22,0.20,0.24,0.18,0.17,0.24,0.13
025102-28022017,0.05,0.03,0.08,0.07,0.07,0.08,0.02,0.12
025119-28022017,0.05,0.01,0.05,0.04,0.04,0.06,0.01,0.09
025140-28022017,0.04,0.02,0.04,0.03,0.05,0.07,0.03,0.10
025176-28022017,0.06,0.03,0.08,0.07,0.05,0.05,0.02,0.10
025180-28022017,0.06,0.02,0.07,0.06,0.04,0.04,0.02,0.08
025185-28022017,0.06,0.03,0.02,0.02,0.04,0.09,0.04,0.09
025199-28022017,0.08,0.10,0.05,0.06,0.09,0.16,0.12,0.14
025246-01032017,0.07,0.05,0.10,0.09,0.06,0.06,0.03,0.10
025254-01032017,0.06,0.04,0.09,0.08,0.06,0.04,0.03,0.08
025286-01032017,0.10,0.05,0.07,0.06,0.03,0.04,0.06,0.04
025294-01032017,0.05,0.01,0.06,0.05,0.04,0.05,0.01,0.09
025295-01032017,0.06,0.01,0.06,0.05,0.04,0.05,0.01,0.09
025313-01032017,0.13,0.07,0.06,0.09,0.04,0.08,0.09,0.06
025324-01032017,0.06,0.02,0.07,0.06,0.04,0.05,0.01,0.09
025342-01032017,0.03,0.03,0.05,0.05,0.06,0.07,0.01,0.11
025346-01032017,0.02,0.04,0.05,0.02,0.07,0.08,0.04,0.12
025354-01032017,0.08,0.05,0.10,0.10,0.07,0.05,0.04,0.10
025356-01032017,0.16,0.11,0.09,0.12,0.07,0.09,0.12,0.07
025359-01032017,0.02,0.04,0.05,0.02,0.07,0.10,0.05,0.12
025379-01032017,0.05,0.03,0.08,0.07,0.06,0.07,0.01,0.11
025391-01032017,0.22,0.16,0.14,0.18,0.12,0.11,0.18,0.07
025395-01032017,0.10,0.07,0.12,0.12,0.09,0.01,0.06,0.04
025419-01032017,0.19,0.13,0.11,0.15,0.10,0.10,0.15,0.08
025423-01032017,0.00,0.06,0.08,0.04,0.09,0.10,0.04,0.14
025435-01032017,0.17,0.17,0.12,0.13,0.15,0.23,0.18,0.20
025439-01032017,0.11,0.05,0.03,0.07,0.01,0.07,0.07,0.05
025441-01032017,0.11,0.05,0.06,0.07,0.03,0.04,0.07,0.04
025447-01032017,0.12,0.06,0.04,0.08,0.02,0.09,0.08,0.06
025471-01032017,0.13,0.07,0.07,0.09,0.04,0.03,0.09,0.01
025480-01032017,0.06,0.02,0.07,0.06,0.04,0.04,0.02,0.09
025485-01032017,0.12,0.08,0.13,0.12,0.09,0.02,0.08,0.04
025495-01032017,0.02,0.03,0.05,0.02,0.07,0.08,0.04,0.12
025512-01032017,0.06,0.03,0.08,0.07,0.05,0.05,0.02,0.09
025513-01032017,0.13,0.10,0.05,0.08,0.09,0.16,0.12,0.14
025540-01032017,0.10,0.05,0.03,0.06,0.02,0.09,0.06,0.07
025550-01032017,0.27,0.21,0.19,0.23,0.18,0.17,0.23,0.13
025555-01032017,0.27,0.21,0.19,0.23,0.18,0.17,0.23,0.13
025568-01032017,0.08,0.02,0.06,0.05,0.03,0.05,0.04,0.07
025571-01032017,0.16,0.18,0.13,0.14,0.16,0.24,0.19,0.22
025572-01032017,0.08,0.05,0.01,0.03,0.04,0.11,0.07,0.09
025579-01032017,0.06,0.04,0.09,0.08,0.05,0.05,0.03,0.09
025600-01032017,0.06,0.02,0.07,0.06,0.04,0.05,0.01,0.09
025606-02032017,0.05,0.02,0.07,0.06,0.05,0.06,0.01,0.10
025680-02032017,0.04,0.02,0.06,0.05,0.05,0.06,0.00,0.10
025715-02032017,0.04,0.02,0.07,0.06,0.05,0.06,0.01,0.10
025716-02032017,0.15,0.10,0.07,0.11,0.09,0.16,0.12,0.14
025719-02032017,0.06,0.01,0.06,0.05,0.04,0.05,0.02,0.09
025739-02032017,0.14,0.08,0.08,0.09,0.04,0.03,0.09,0.01
025742-02032017,0.09,0.03,0.04,0.05,0.00,0.07,0.05,0.05
025743-02032017,0.25,0.19,0.17,0.20,0.15,0.14,0.20,0.10
025747-02032017,0.06,0.05,0.02,0.02,0.04,0.12,0.07,0.09
025753-02032017,0.29,0.23,0.21,0.25,0.19,0.19,0.25,0.14
025754-02032017,0.12,0.06,0.06,0.08,0.02,0.05,0.08,0.03
025757-02032017,0.03,0.03,0.05,0.02,0.06,0.08,0.03,0.11
025762-02032017,0.06,0.01,0.06,0.05,0.03,0.05,0.02,0.08
025777-02032017,0.08,0.10,0.05,0.06,0.09,0.16,0.12,0.14
025803-02032017,0.06,0.03,0.08,0.07,0.05,0.05,0.02,0.09
025806-02032017,0.10,0.06,0.11,0.10,0.07,0.00,0.06,0.04
025808-02032017,0.04,0.02,0.05,0.04,0.06,0.07,0.02,0.11
025817-02032017,0.11,0.09,0.04,0.07,0.07,0.15,0.10,0.13
025818-02032017,0.04,0.02,0.06,0.05,0.06,0.06,0.00,0.11
025825-02032017,0.04,0.04,0.03,0.00,0.05,0.10,0.05,0.10
025858-02032017,0.09,0.04,0.09,0.08,0.05,0.02,0.04,0.06
025870-02032017,0.17,0.11,0.09,0.12,0.07,0.12,0.12,0.10
025926-02032017,0.06,0.03,0.08,0.07,0.05,0.05,0.02,0.09
025935-02032017,0.05,0.03,0.08,0.07,0.07,0.07,0.01,0.12
025939-02032017,0.06,0.02,0.07,0.06,0.04,0.05,0.01,0.09
025963-02032017,0.05,0.03,0.07,0.07,0.07,0.07,0.01,0.12
025969-02032017,0.12,0.07,0.12,0.12,0.09,0.02,0.08,0.04
025978-02032017,0.04,0.02,0.06,0.06,0.06,0.07,0.01,0.11
025980-02032017,0.05,0.01,0.06,0.05,0.04,0.05,0.01,0.09
025989-02032017,0.07,0.03,0.08,0.08,0.05,0.03,0.03,0.07
025998-02032017,0.10,0.04,0.06,0.06,0.03,0.05,0.06,0.04
026008-02032017,0.03,0.03,0.06,0.05,0.06,0.07,0.01,0.11
026012-02032017,0.12,0.14,0.09,0.10,0.13,0.20,0.16,0.18
026014-02032017,0.12,0.06,0.07,0.07,0.04,0.03,0.07,0.03
026019-02032017,0.23,0.17,0.15,0.18,0.13,0.12,0.18,0.08
026027-02032017,0.05,0.01,0.04,0.03,0.04,0.07,0.02,0.09
026036-02032017,0.18,0.12,0.11,0.14,0.09,0.08,0.14,0.04
